Standard Drug Name	ID	Gene(s)	Source(s)	Source Drug Name	Show Drug Name	Family(ies)	Status	Pathology	Cancer(s)	target	marker
AMSACRINE	2179.0	TOP2B|KCNH2|BTF3P11|TOP2A	TTD	AMSACRINE	AMSACRINE	Isomerases_Inhibitor(KEGG), topoisomerase inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	TOP2B|KCNH2|TOP2A	BTF3P11
PHLORETIN	4788.0	CLCN3|SLC23A1|AQP9	GuideToPharmacologyInteractions	PHLORETIN	PHLORETIN	sodium/glucose cotransporter inhibitor(Cmap)	EXPERIMENTAL	-	-		CLCN3|SLC23A1|AQP9
CHEMBL2205377	16725048.0	GRM1	GuideToPharmacologyInteractions	COMPOUND 9N [PMID: 23084894]	CHEMBL2205377	Other	EXPERIMENTAL	-	-		GRM1
SOBETIROME	9862248.0	THRB|CHRM1	DrugBank	{4-[4-HYDROXY-3-(1-METHYLETHYL)BENZYL]-3,5-DIMETHYLPHENOXY}ACETIC ACID	SOBETIROME	Thyroid hormone like receptors_Agonist(KEGG), thyroid hormone receptor agonist(Cmap)	CLINICAL_TRIALS	-	-	THRB|CHRM1	
SETMELANOTIDE	11993702.0	MC1R|MC5R|MC4R|MC3R	GuideToPharmacologyInteractions	SETMELANOTIDE	SETMELANOTIDE	Other	CLINICAL_TRIALS	-	-	MC4R	MC1R|MC5R|MC3R
PONATINIB HYDROCHLORIDE	46908927.0	ABL1|BCR	ChemblInteractions	PONATINIB HYDROCHLORIDE	PONATINIB HYDROCHLORIDE	Tyrosine protein kinases_Inhibitor(KEGG)	APPROVED	Oncology	BLOOD	ABL1|BCR	
CHEMBL511942	5289109.0	MMP13	DrugBank	PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)	CHEMBL511942	Other	EXPERIMENTAL	-	-	MMP13	
CHEMBL389033	11545181.0	S1PR1|S1PR3	GuideToPharmacologyInteractions	VPC44116	CHEMBL389033	Other	EXPERIMENTAL	-	-		S1PR1|S1PR3
FG-4592	11256664.0	EGLN1|P4HTM|EGLN3|EGLN2	DrugBank	FG-4592	FG-4592	hypoxia inducible factor prolyl hydroxylase inhibitor(Cmap)	CLINICAL_TRIALS	-	-	EGLN1|EGLN3|EGLN2	P4HTM
RETASPIMYCIN (HYDROCHLORIDE)	11685945.0	HSP90AB1|HSP90AA1	ChemblInteractions	RETASPIMYCIN HYDROCHLORIDE	RETASPIMYCIN (HYDROCHLORIDE)	Other	EXPERIMENTAL	-	-		HSP90AB1|HSP90AA1
CNS-5161	192711.0	GRIN3A|GRIN1|GRIN2B|GRIN2A|GRIN2C|GRIN3B|GRIN2D	ChemblInteractions	CNS-5161	CNS-5161	Other	CLINICAL_TRIALS	-	-	GRIN1	GRIN3A|GRIN2B|GRIN2A|GRIN2C|GRIN3B|GRIN2D
5-BENZYLOXYTRYPTAMINE	89576.0	TRPM8	GuideToPharmacologyInteractions	5-BENZYLOXYTRYPTAMINE	5-BENZYLOXYTRYPTAMINE	Other	EXPERIMENTAL	-	-		TRPM8
RADIPRODIL	10200813.0	GRIN1|GRIN2B	ChemblInteractions	RADIPRODIL	RADIPRODIL	Other	CLINICAL_TRIALS	-	-		GRIN1|GRIN2B
UNII-KNM216XOUH	23581869.0	GABRA2|MTNR1A|GABRA3	GuideToPharmacologyInteractions	AZD7325	UNII-KNM216XOUH	Other	CLINICAL_TRIALS	-	-		GABRA2|MTNR1A|GABRA3
METHOXAMINE	6082.0	ADRA1B|ADRA1A|ADRA1D	DrugBank	METHOXAMINE	METHOXAMINE	Rhodopsin family_Agonist(KEGG), adrenergic receptor agonist(Cmap)	WITHDRAWN	-	-	ADRA1B|ADRA1A|ADRA1D	
CHEMBL437747	447873.0	MAPK10	DrugBank	CYCLOHEXYL-{4-[5-(3,4-DICHLOROPHENYL)-2-PIPERIDIN-4-YL-3-PROPYL-3H-IMIDAZOL-4-YL]-PYRIMIDIN-2-YL}AMINE	CHEMBL437747	Other	EXPERIMENTAL	-	-	MAPK10	
DIFLORASONE	71415.0	NR3C1|ANXA1|PLA2G1B	TdgClinicalTrial	DIFLORASONE	DIFLORASONE	Estrogen like receptors_Agonist(KEGG)	APPROVED	Dermatology/Plastic surgery	-	ANXA1|PLA2G1B	NR3C1
PA451	9823741.0	RXRA	GuideToPharmacologyInteractions	PA451	PA451	Other	EXPERIMENTAL	-	-		RXRA
CRIZOTINIB	11626560.0	NTRK1|ALK|EML4|AREG|NPM1|ROS1|EGFR|MET|BRAF|FGFR1|CDKN2A|ABL1|ETV6|KRAS|TP53|ERBB2|SMAD4|SRC	CGI	CRIZOTINIB	CRIZOTINIB	Receptor tyrosine kinase_Inhibitor(KEGG), ALK tyrosine kinase receptor inhibitor(Cmap)	APPROVED	Oncology	LUNG	ALK|ROS1|MET	NTRK1|EML4|AREG|NPM1|EGFR|BRAF|FGFR1|CDKN2A|ABL1|ETV6|KRAS|TP53|ERBB2|SMAD4|SRC
N-(2-AMINOETHYL)-P-CHLOROBENZAMIDE	233979.0	MAOB	DrugBank	N-(2-AMINOETHYL)-P-CHLOROBENZAMIDE	N-(2-AMINOETHYL)-P-CHLOROBENZAMIDE	Other	EXPERIMENTAL	-	-	MAOB	
12-BROMODODECANOIC ACID	175468.0	PAEP	DrugBank	12-BROMODODECANOIC ACID	12-BROMODODECANOIC ACID	Other	EXPERIMENTAL	-	-	PAEP	
CGP 12177	2687.0	ADRB2|ADRB3	GuideToPharmacologyInteractions	CGP 12177	CGP 12177	Other	EXPERIMENTAL	-	-		ADRB2|ADRB3
909725-61-7	6857802.0	S1PR1	GuideToPharmacologyInteractions	W146	909725-61-7	Other	EXPERIMENTAL	-	-		S1PR1
CPI-613	24770514.0	PDK1|PDHB|PDHA2|PDK4|PDK2|PDHA1|PDK3	TdgClinicalTrial	CPI-613	CPI-613	pyruvate dehydrogenase inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER		PDK1|PDHB|PDHA2|PDK4|PDK2|PDHA1|PDK3
DIAZOXIDE	3019.0	ATP1A1|CCK|NT5E|LPL|CYP7B1|CA1|CA2|KCNMA1|KCNJ11|KCNJ8|SLC12A3|NOS2|SNAP25	DrugBank	DIAZOXIDE	DIAZOXIDE	Related to voltage-gated cation channels_Opener(KEGG), potassium channel activator(Cmap)	APPROVED	Endocrinology	-	ATP1A1|CA1|CA2|KCNMA1|KCNJ11|SLC12A3	CCK|NT5E|LPL|CYP7B1|KCNJ8|NOS2|SNAP25
GENISTEIN	5280961.0	EPHA8|SLC2A1|GADD45A|BGLAP|NCOA1|IL1R1|CXCR2|PPARG|AGTR1|ABCG2|CCNA2|PRL|ESR1|PLG|CYP3A4|CFTR|PTK2B|NRG1|NCOA2|TG|ABL1|CEL|PAEP|RET|MGMT|ESRRA|NTF3|PTGES3|ESR2|ESRRB|TJP1|CYP19A1|SMAD3|TAT|SLC2A4|TOP2A|GFAP|BIRC5|TGFB1|CEACAM5|KLK3|TRPC5	NCI	GENISTEIN	GENISTEIN	tyrosine kinase inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	NCOA1|PPARG|ESR1|PTK2B|NCOA2|ESR2|TOP2A	EPHA8|SLC2A1|GADD45A|BGLAP|IL1R1|CXCR2|AGTR1|ABCG2|CCNA2|PRL|PLG|CYP3A4|CFTR|NRG1|TG|ABL1|CEL|PAEP|RET|MGMT|ESRRA|NTF3|PTGES3|ESRRB|TJP1|CYP19A1|SMAD3|TAT|SLC2A4|GFAP|BIRC5|TGFB1|CEACAM5|KLK3|TRPC5
SKF-105494	9963434.0	AVPR2	GuideToPharmacologyInteractions	SKF-105494	SKF-105494	Other	EXPERIMENTAL	-	-		AVPR2
CHOLINE FENOFIBRATE	11350701.0	PPARA	ChemblInteractions	CHOLINE FENOFIBRATE	CHOLINE FENOFIBRATE	Thyroid hormone like receptors_Agonist(KEGG)	APPROVED	Hematology | Diagnostic agent	-		PPARA
DFGYVAE	46906168.0	HMGCR	GuideToPharmacologyInteractions	DFGYVAE	DFGYVAE	Other	EXPERIMENTAL	-	-		HMGCR
NIRAPARIB	24958200.0	PARP1|IDH1|ATR|PTEN|ATM|BRCA2|PARP2|BRCA1	MyCancerGenome	MK4827	NIRAPARIB	Transferases_Inhibitor(KEGG), PARP inhibitor(Cmap)	APPROVED	Oncology	OVARY|FALLOPIAN TUBE|PERITONEUM	PARP1|PARP2	IDH1|ATR|PTEN|ATM|BRCA2|BRCA1
MLN1117	70798655.0	PIK3CD|MTOR|PIK3CB|PIK3CA|PIK3CG|KRAS	GuideToPharmacologyInteractions	SERABELISIB	MLN1117	PI3K inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	PIK3CA	PIK3CD|MTOR|PIK3CB|PIK3CG|KRAS
SB207710	5311423.0	NAT1|SERPINA3	GuideToPharmacologyInteractions	SB 207710	SB207710	Other	EXPERIMENTAL	-	-		NAT1|SERPINA3
BENZOIC ACID	243.0	RIDA|PRDX5|DAO|RAB9A	DrugBank	BENZOIC ACID	BENZOIC ACID	Other	CLINICAL_TRIALS	-	-	RIDA|PRDX5|DAO|RAB9A	
YM-471	9810140.0	AVPR1B|AVPR1A|AVPR2	GuideToPharmacologyInteractions	YM 471	YM-471	Other	EXPERIMENTAL	-	-		AVPR1B|AVPR1A|AVPR2
BUCINDOLOL	51045.0	ADRB2|ADRB1	TdgClinicalTrial	BUCINDOLOL	BUCINDOLOL	Other	CLINICAL_TRIALS	-	-		ADRB2|ADRB1
ESCULIN	5281417.0	AR	DrugBank	ESCULIN	ESCULIN	antioxidant(Cmap)	EXPERIMENTAL	-	-	AR	
[(4-{4-[4-(DIFLUORO-PHOSPHONO-METHYL)-PHENYL]-BUTYL}-PHENYL)-DIFLUORO-METHYL]-PHOSPHONIC ACID	446665.0	PTPN1	DrugBank	[(4-{4-[4-(DIFLUORO-PHOSPHONO-METHYL)-PHENYL]-BUTYL}-PHENYL)-DIFLUORO-METHYL]-PHOSPHONIC ACID	[(4-{4-[4-(DIFLUORO-PHOSPHONO-METHYL)-PHENYL]-BUTYL}-PHENYL)-DIFLUORO-METHYL]-PHOSPHONIC ACID	Other	EXPERIMENTAL	-	-	PTPN1	
BOSUTINIB	5328940.0	ABL2|MAP3K2|TNK2|TXK|STK10|FYN|FRK|EGFR|LYN|ABL1|CAMK1D|CAMK2G|SIK2|SIK3|CDK2|STK24|MAP4K5|MAP2K1|MAP2K2|HCK|SRC|STK4|SIK1|BCR|ASXL1	TTD	BOSUTINIB	BOSUTINIB	Tyrosine protein kinases_Inhibitor(KEGG), Abl kinase inhibitor(Cmap), Bcr-Abl kinase inhibitor(Cmap), src inhibitor(Cmap)	APPROVED	Oncology	BLOOD	ABL2|MAP3K2|LYN|ABL1|CAMK2G|CDK2|MAP2K1|MAP2K2|HCK|SRC|BCR	TNK2|TXK|STK10|FYN|FRK|EGFR|CAMK1D|SIK2|SIK3|STK24|MAP4K5|STK4|SIK1|ASXL1
SODIUM SALICYLATE	16760658.0	CSF2|HSPA4|CDKN1A|NGB	NCI	SODIUM SALICYLATE	SODIUM SALICYLATE	Oxidoreductases_Inhibitor(KEGG)	CLINICAL_TRIALS	-	CANCER		CSF2|HSPA4|CDKN1A|NGB
89820-00-8	146089.0	CES1P1	DrugBank	1,1,1-TRIFLUORO-3-(OCTYLTHIO)ACETONE	89820-00-8	Other	EXPERIMENTAL	-	-	CES1P1	
SERMORELIN ACETATE	16132412.0	GHRHR	ChemblInteractions	SERMORELIN ACETATE	SERMORELIN ACETATE	Secretin receptor family_Agonist(KEGG)	WITHDRAWN	-	-		GHRHR
[3H]LYS-[LEU8][DES-ARG9]BK	5310951.0	BDKRB1	GuideToPharmacologyInteractions	[3H]LYS-[LEU8][DES-ARG9]BK	[3H]LYS-[LEU8][DES-ARG9]BK	Other	EXPERIMENTAL	-	-		BDKRB1
CAPSAZEPINE	2733484.0	TRPV1	GuideToPharmacologyInteractions	CAPSAZEPINE	CAPSAZEPINE	TRPV agonist(Cmap)	EXPERIMENTAL	-	-		TRPV1
WHI-P154	3795.0	ALK	CIViC	WHI-P154	WHI-P154	JAK inhibitor(Cmap)	EXPERIMENTAL	-	-		ALK
IVOSIDENIB	71657455.0	IDH1	GuideToPharmacologyInteractions	IVOSIDENIB	IVOSIDENIB	isocitrate dehydrogenase inhibitor(Cmap)	EXPERIMENTAL	-	-		IDH1
841290-80-0	11213558.0	SYK|RET|ACVR1B|BCKDK|CDKL1|EPHA2|ERCC3|FASN|GSG2|GSK3B|HSP90B1|IL1RN|KDM6A|LATS1|MAP3K5|MAP3K7|MARK4|MAST2|MINK1|MLL|NEK8|PCM1|PDK1|PRKCE|PTCH1|PTEN|SCRIB|SMG1|SMURF2|SNRK|TRIM33|UBR5|ABCA3|ALS2|BRAF|BRSK2|EPHA5|FLNB|GLI2|GRB7|HOXD13|IKZF3|LMTK2|MED13L|PHF3|PIK3C2G|PRKD1|RFC4|RPTOR|SMARCA4|STIL|TBX22|THRAP3|VCPIP1|YSK4	DrugBank	6-({5-FLUORO-2-[(3,4,5-TRIMETHOXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-2,2-DIMETHYL-2H-PYRIDO[3,2-B][1,4]OXAZIN-3(4H)-ONE	841290-80-0	Other	EXPERIMENTAL	-	-	SYK	RET|ACVR1B|BCKDK|CDKL1|EPHA2|ERCC3|FASN|GSG2|GSK3B|HSP90B1|IL1RN|KDM6A|LATS1|MAP3K5|MAP3K7|MARK4|MAST2|MINK1|MLL|NEK8|PCM1|PDK1|PRKCE|PTCH1|PTEN|SCRIB|SMG1|SMURF2|SNRK|TRIM33|UBR5|ABCA3|ALS2|BRAF|BRSK2|EPHA5|FLNB|GLI2|GRB7|HOXD13|IKZF3|LMTK2|MED13L|PHF3|PIK3C2G|PRKD1|RFC4|RPTOR|SMARCA4|STIL|TBX22|THRAP3|VCPIP1|YSK4
CHEMBL609728	5276854.0	ADRA2B|HTR2B|HRH1|ADRA2C|ADRA1B|OPRM1|ADRA1A|ADRA2A|HTR2A|ADRA1D|OPRL1|HTR2C	DrugBank	EPICEPT NP-1	CHEMBL609728	Other	CLINICAL_TRIALS	-	-	ADRA2B|HTR2B|HRH1|ADRA2C|ADRA1B|OPRM1|ADRA1A|ADRA2A|HTR2A|ADRA1D|OPRL1|HTR2C	
3-METHYLTHIOFENTANYL	62296.0	OPRD1|OPRM1|OPRK1	DrugBank	3-METHYLTHIOFENTANYL	3-METHYLTHIOFENTANYL	Other	EXPERIMENTAL	-	-	OPRD1|OPRM1|OPRK1	
ETODOLAC	3308.0	CPT2|PTGS2|PTGS1|RXRA	GuideToPharmacologyInteractions	ETODOLAC	ETODOLAC	Oxidoreductases_Inhibitor(KEGG), cyclooxygenase inhibitor(Cmap)	APPROVED	Pain management	CLINICAL CANCER	PTGS2|PTGS1|RXRA	CPT2
CHEMBL397666	135530418.0	IGF1R	DrugBank	3-[5-(1H-IMIDAZOL-1-YL)-7-METHYL-1H-BENZIMIDAZOL-2-YL]-4-[(PYRIDIN-2-YLMETHYL)AMINO]PYRIDIN-2(1H)-ONE	CHEMBL397666	Other	EXPERIMENTAL	-	-	IGF1R	
AZ 12216052	73755190.0	GRM8	GuideToPharmacologyInteractions	AZ12216052	AZ 12216052	Other	EXPERIMENTAL	-	-		GRM8
ROLICYCLIDINE	62436.0	GRIN3A|DRD2	DrugBank	ROLICYCLIDINE	ROLICYCLIDINE	Other	EXPERIMENTAL	-	-	GRIN3A|DRD2	
BZATP	115205.0	P2RX1|P2RY11	GuideToPharmacologyInteractions	BZATP	BZATP	Other	EXPERIMENTAL	-	-		P2RX1|P2RY11
CYCLIZINE LACTATE	71473.0	HRH1	ChemblInteractions	CYCLIZINE LACTATE	CYCLIZINE LACTATE	Rhodopsin family_Antagonist(KEGG)	WITHDRAWN	-	-		HRH1
APICIDIN	6918328.0	HDAC1|HDAC3|HDAC2|HDAC8	GuideToPharmacologyInteractions	APICIDIN	APICIDIN	Other	EXPERIMENTAL	-	-		HDAC1|HDAC3|HDAC2|HDAC8
GREPAFLOXACIN	72474.0	KCNH2	PharmGKB	GREPAFLOXACIN	GREPAFLOXACIN	Other	WITHDRAWN	-	-		KCNH2
WAY-151693	4368.0	MMP13	DrugBank	WAY-151693	WAY-151693	Other	EXPERIMENTAL	-	-	MMP13	
FLUFENAMIC ACID	3371.0	GJB5|GJB4|GJB3|GJA4|GJA5|GJA8|PTGS2|KCNT2|GJC2|NAAA|C7|C6|GJA1|GJE1|OSGIN2|PTGS1|C8G|AKR1C3|GJD4|PKD2L1|TRPM5|ART1|ANO1|PANX1|PANX3|C1R|GJB2|GJB6|GJD2|GJD3|TRPM2|AR|TRPC5	GuideToPharmacologyInteractions	FLUFENAMIC ACID	FLUFENAMIC ACID	Oxidoreductases_Inhibitor(KEGG)	EXPERIMENTAL	-	-	PTGS2|PTGS1|AKR1C3|AR	GJB5|GJB4|GJB3|GJA4|GJA5|GJA8|KCNT2|GJC2|NAAA|C7|C6|GJA1|GJE1|OSGIN2|C8G|GJD4|PKD2L1|TRPM5|ART1|ANO1|PANX1|PANX3|C1R|GJB2|GJB6|GJD2|GJD3|TRPM2|TRPC5
1-(1-METHYLETHYL)-3-QUINOLIN-6-YL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	24905152.0	SRC	DrugBank	1-(1-METHYLETHYL)-3-QUINOLIN-6-YL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	1-(1-METHYLETHYL)-3-QUINOLIN-6-YL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	Other	EXPERIMENTAL	-	-	SRC	
5-CHLORO-N-[(3S)-1-[(2S)-1-(MORPHOLIN-4-YL)-1-OXOPROPAN-2-YL]-2-OXOPYRROLIDIN-3-YL]-1H-INDOLE-2-SULFONAMIDE	9549257.0	F10	DrugBank	5-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-5-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-SULFONAMIDE	5-CHLORO-N-[(3S)-1-[(2S)-1-(MORPHOLIN-4-YL)-1-OXOPROPAN-2-YL]-2-OXOPYRROLIDIN-3-YL]-1H-INDOLE-2-SULFONAMIDE	Other	EXPERIMENTAL	-	-	F10	
CARMUSTINE	2578.0	GSR|PLAU|MGMT|E2F1|G6PD	DrugBank	CARMUSTINE	CARMUSTINE	Oxidoreductases_Inhibitor(KEGG), Chemokines_Monoclonal antibody(KEGG), DNA alkylating agent(Cmap), DNA inhibitor(Cmap)	APPROVED	Oncology	BLOOD	GSR	PLAU|MGMT|E2F1|G6PD
LY-156735	219018.0	MTNR1A|MTNR1B	TTD	LY-156735	LY-156735	Other	EXPERIMENTAL	-	-	MTNR1A	MTNR1B
CALPAIN INHIBITOR I	443118.0	PSMA7	DrugBank	2-ACETYLAMINO-4-METHYL-PENTANOIC ACID [1-(1-FORMYL-PENTYLCARBAMOYL)-3-METHYL-BUTYL]-AMIDE	CALPAIN INHIBITOR I	Other	EXPERIMENTAL	-	-	PSMA7	
FORETINIB	42642645.0	MST1R|PDGFRA|KIT|KDR|PDGFRB|FLT4|ROS1|HGF|MET|TEK|PTCH1|ABL1|FLT3|FLT1|NRAS	TALC	FORETINIB	FORETINIB	Receptor tyrosine kinase_Inhibitor(KEGG), Tyrosine protein kinases_Inhibitor(KEGG), VEGFR inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	MST1R|KDR|FLT4|HGF|MET|FLT1	PDGFRA|KIT|PDGFRB|ROS1|TEK|PTCH1|ABL1|FLT3|NRAS
INACTIVIN	71613.0	G6PD	DrugBank	16-BROMOEPIANDROSTERONE	INACTIVIN	Other	CLINICAL_TRIALS	-	-	G6PD	
CHEMBL1169573	11672811.0	HCAR2	GuideToPharmacologyInteractions	COMPOUND (+)17A [PMID: 20363624]	CHEMBL1169573	Other	EXPERIMENTAL	-	-		HCAR2
TAVILERMIDE	9808372.0	NTRK1	TdgClinicalTrial	MIM-D3	TAVILERMIDE	Other	EXPERIMENTAL	-	-		NTRK1
MRS 2219	3960826.0	P2RX1	GuideToPharmacologyInteractions	MRS 2219	MRS 2219	Other	EXPERIMENTAL	-	-		P2RX1
MM-398	91809656.0	TOP1	ChemblInteractions	IRINOTECAN SUCROSOFATE	MM-398	Other	CLINICAL_TRIALS	-	CANCER		TOP1
SARIDEGIB	25027363.0	SMO	GuideToPharmacologyInteractions	SARIDEGIB	SARIDEGIB	Others_Inhibitor(KEGG)	CLINICAL_TRIALS	-	CANCER		SMO
CHEMBL406471	44309096.0	SSTR2	GuideToPharmacologyInteractions	L-363,377	CHEMBL406471	Other	EXPERIMENTAL	-	-		SSTR2
4-PHENYLBUTYRIC ACID	4775.0	HDAC1|XRCC5|SMN1|BCL2	TTD	PHENYLBUTYRATE	4-PHENYLBUTYRIC ACID	Other	CLINICAL_TRIALS	-	CANCER	HDAC1	XRCC5|SMN1|BCL2
4-(2-METHOXYETHOXY)-6-METHYLPYRIMIDIN-2-AMINE	3777900.0	HSP90AA1	DrugBank	4-(2-METHOXYETHOXY)-6-METHYLPYRIMIDIN-2-AMINE	4-(2-METHOXYETHOXY)-6-METHYLPYRIMIDIN-2-AMINE	Other	EXPERIMENTAL	-	-	HSP90AA1	
2,3-DIHYDROXYBENZOIC ACID	19.0	LCN2	DrugBank	2,3-DIHYDROXY-BENZOIC ACID	2,3-DIHYDROXYBENZOIC ACID	Other	EXPERIMENTAL	-	-	LCN2	
HENATINIB	25116064.0	KDR	ChemblInteractions	HENATINIB	HENATINIB	Other	CLINICAL_TRIALS	-	CANCER		KDR
BUSERELIN	50225.0	LHCGR|GNRHR|IGFBP1	DrugBank	BUSERELIN	BUSERELIN	Rhodopsin family_Agonist(KEGG)	CLINICAL_TRIALS	-	CANCER	LHCGR|GNRHR	IGFBP1
2-AMINOTHIAZOLINE	15689.0	NOS3	DrugBank	2-AMINOTHIAZOLINE	2-AMINOTHIAZOLINE	Other	EXPERIMENTAL	-	-	NOS3	
FLUNARIZINE	941361.0	KCND3|HRH1|CALM1|CACNA1H|CACNA1G|CACNA1I	TTD	FLUNARIZINE	FLUNARIZINE	Voltage-gated cation channels_Blocker(KEGG), calcium channel blocker(Cmap)	CLINICAL_TRIALS	-	-	KCND3|HRH1|CALM1|CACNA1H|CACNA1G|CACNA1I	
CICLOPROLOL	146294.0	ADRB2	GuideToPharmacologyInteractions	CICLOPROLOL	CICLOPROLOL	Other	EXPERIMENTAL	-	-		ADRB2
NITRIC OXIDE	145068.0	NPR1|GUCY1A3|GUCY1B3|GUCY1A2|GUCY1B2	TEND	NITRIC OXIDE	NITRIC OXIDE	Other	APPROVED	Pulmonary/Respiratory disease	-	NPR1|GUCY1A2	GUCY1A3|GUCY1B3|GUCY1B2
4-P-PDOT	3976006.0	MTNR1A|MTNR1B	GuideToPharmacologyInteractions	4P-PDOT	4-P-PDOT	melatonin receptor antagonist(Cmap)	EXPERIMENTAL	-	-		MTNR1A|MTNR1B
PYRIDOXAMINE PHOSPHATE	1053.0	KYAT1|BCAT2	DrugBank	PYRIDOXAMINE-5'-PHOSPHATE	PYRIDOXAMINE PHOSPHATE	Other	EXPERIMENTAL	-	-	KYAT1|BCAT2	
SB-623	6918876.0	HDAC1	TTD	SB-623	SB-623	Other	EXPERIMENTAL	-	-	HDAC1	
GW1929	6518171.0	PPARG	GuideToPharmacologyInteractions	GW1929	GW1929	Other	EXPERIMENTAL	-	-		PPARG
MOTESANIB	11667893.0	PDGFRA|KIT|KDR|PDGFRB|FLT4|RET|FLT1|CDKN1B|FIP1L1	MyCancerGenome	MOTESANIB	MOTESANIB	Receptor tyrosine kinase_Inhibitor(KEGG), KIT inhibitor(Cmap), PDGFR tyrosine kinase receptor inhibitor(Cmap), VEGFR inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	PDGFRA|KIT|KDR|PDGFRB|FLT4|RET|FLT1	CDKN1B|FIP1L1
ETIOCHOLANOLONE	5880.0	HSD17B11|IGHG2|CYP1A2|SULT2A1	DrugBank	AETIOCHOLANOLONE	ETIOCHOLANOLONE	Other	CLINICAL_TRIALS	-	-	HSD17B11|IGHG2|SULT2A1	CYP1A2
SODIUM HEPARIN	22833565.0	HGF	NCI	SODIUM HEPARIN	SODIUM HEPARIN	Other	CLINICAL_TRIALS	-	CANCER		HGF
6-AMINONICOTINAMIDE	9500.0	TRH|ACHE|MT1H|GPI	NCI	6-AMINONICOTINAMIDE	6-AMINONICOTINAMIDE	Other	EXPERIMENTAL	-	-		TRH|ACHE|MT1H|GPI
PLECANATIDE	70693500.0	GUCY1A2|GUCY2C	DrugBank	PLECANATIDE	PLECANATIDE	Lyases_Agonist(KEGG)	APPROVED	Gastroenterology	-	GUCY1A2|GUCY2C	
AL6528	1514.0	CA2	DrugBank	AL6528	AL6528	Other	EXPERIMENTAL	-	-	CA2	
MECAMYLAMINE HYDROCHLORIDE	13221.0	CHRNA3|CHRNB4	ChemblInteractions	MECAMYLAMINE HYDROCHLORIDE	MECAMYLAMINE HYDROCHLORIDE	Cys-loop superfamily_Antagonist(KEGG)	APPROVED	Cardiology/Vascular disease	-		CHRNA3|CHRNB4
UNII-XKW9MYF94Y	24963749.0	AR	ChemblInteractions	LY2452473	UNII-XKW9MYF94Y	Other	CLINICAL_TRIALS	-	-		AR
PROCAINE HYDROCHLORIDE	5795.0	SCN3A|SCN2A|SCN1A|SCN9A|SCN7A|SCN5A|SCN10A|SCN11A|SCN8A|SCN4A	ChemblInteractions	PROCAINE HYDROCHLORIDE	PROCAINE HYDROCHLORIDE	Ryanodine and IP3 receptors_Antagonist(KEGG), Voltage-gated cation channels_Blocker(KEGG)	WITHDRAWN	-	-		SCN3A|SCN2A|SCN1A|SCN9A|SCN7A|SCN5A|SCN10A|SCN11A|SCN8A|SCN4A
3,5-DIBROMO-L-TYROSINE	67532.0	EPOR	DrugBank	3,5 DIBROMOTYROSINE	3,5-DIBROMO-L-TYROSINE	Other	EXPERIMENTAL	-	-	EPOR	
CHEMBL507060	44585949.0	P2RY6	GuideToPharmacologyInteractions	MRS2782	CHEMBL507060	Other	EXPERIMENTAL	-	-		P2RY6
N,N-DIMETHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE	11171679.0	CYP2A6	DrugBank	N,N-DIMETHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE	N,N-DIMETHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE	Other	EXPERIMENTAL	-	-	CYP2A6	
LY2886721	49837968.0	BACE1	GuideToPharmacologyInteractions	LY2886721	LY2886721	beta-secretase inhibitor(Cmap)	CLINICAL_TRIALS	-	-		BACE1
(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE	6914614.0	PKIA|PRKACA	DrugBank	(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE	(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE	Other	EXPERIMENTAL	-	-	PKIA|PRKACA	
